benchmark	baseline_best3_ns	candidate_best3_ns	delta_percent	verdict
Map/4/mbo::types::CompareLess<int>/LowerBound/MiddleHit	1.063124	1.392333	+30.966	FAIL
Map/4/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	1.066644	1.394434	+30.731	FAIL
Map/4/mbo::types::CompareLess<int>/UpperBound/After	2.464190	2.090365	-15.170	PASS
Map/4/mbo::types::CompareLess<int>/UpperBound/Before	3.131268	4.187159	+33.721	FAIL
Map/4/mbo::types::CompareLess<int>/UpperBound/First	1.622496	1.395454	-13.993	PASS
Map/4/mbo::types::CompareLess<int>/UpperBound/Last	1.093693	0.813707	-25.600	PASS
Map/4/mbo::types::CompareLess<int>/UpperBound/MiddleHit	1.059663	1.044227	-1.457	PASS
Map/4/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	1.062443	1.044481	-1.691	PASS
Map/4/std::greater<>/IndexOf/After	2.087717	2.090666	+0.141	FAIL
Map/4/std::greater<>/IndexOf/Before	3.481931	3.494981	+0.375	FAIL
Map/4/std::greater<>/IndexOf/First	1.044552	1.047234	+0.257	FAIL
Map/4/std::greater<>/IndexOf/Last	0.696324	0.697133	+0.116	FAIL
Map/4/std::greater<>/IndexOf/MiddleHit	0.813914	1.392409	+71.076	FAIL
Map/4/std::greater<>/IndexOf/MiddleMiss	1.309664	1.045417	-20.177	PASS
Map/4/std::greater<>/LowerBound/After	2.448574	2.089214	-14.676	PASS
Map/4/std::greater<>/LowerBound/Before	3.130279	4.183395	+33.643	FAIL
Map/4/std::greater<>/LowerBound/First	1.612841	1.401717	-13.090	PASS
Map/4/std::greater<>/LowerBound/Last	1.065933	1.218490	+14.312	FAIL
Map/4/std::greater<>/LowerBound/MiddleHit	1.065885	1.392011	+30.597	FAIL
Map/4/std::greater<>/LowerBound/MiddleMiss	1.064294	1.396606	+31.224	FAIL
Map/4/std::greater<>/UpperBound/After	2.459995	2.096759	-14.766	PASS
Map/4/std::greater<>/UpperBound/Before	3.132894	4.201397	+34.106	FAIL
Map/4/std::greater<>/UpperBound/First	1.598582	1.221860	-23.566	PASS
Map/4/std::greater<>/UpperBound/Last	1.079640	1.048279	-2.905	PASS
Map/4/std::greater<>/UpperBound/MiddleHit	1.091464	1.398539	+28.134	FAIL
Map/4/std::greater<>/UpperBound/MiddleMiss	1.061642	1.396717	+31.562	FAIL
Map/4/std::less<>/IndexOf/After	2.091209	1.911546	-8.591	PASS
